['isotopologue.name', 'exomol_ID', 'wavenumber', 'K_mu', 'upper.energy', 'degeneracy', 'J', 'Tparity', 'Rparity', 'state', 'v', 'Lambda', 'Sigma', 'Omega', 'lower.energy', 'degeneracy', 'J', 'Tparity', 'Rparity', 'state', 'v', 'Lambda', 'Sigma', 'Omega']
['27Al16O', '3820 - 3219', 54.389834, -17.817116338321906, 8742.162674, 20.0, 9.5, '-', 'e', 'X2Sigma+', 0, 0, -0.5, -0.5, 8687.772841, 18.0, 8.5, '+', 'e', 'A2PI', 0, 1, -0.5, 0.5]
['27Al16O', '3434 - 2833', 54.539155, 31.74728321331714, 12047.056011, 18.0, 8.5, '-', 'f', 'A2PI', 0, -1, 0.5, -0.5, 11992.516855, 16.0, 7.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '6830 - 6629', 54.707879, 40.57258370407667, 11383.377355, 36.0, 17.5, '+', 'f', 'A2PI', 0, 1, 0.5, 1.5, 11328.669477, 34.0, 16.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '2834 - 3033', 54.708788, 32.73441188278528, 12038.535337, 16.0, 7.5, '+', 'f', 'A2PI', 0, 1, -0.5, 0.5, 11983.826549, 16.0, 7.5, '-', 'e', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '434 - 633', 54.734333, 33.93994040267249, 12008.485447, 4.0, 1.5, '+', 'f', 'A2PI', 0, 1, -0.5, 0.5, 11953.751114, 4.0, 1.5, '-', 'e', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '434 - 223', 54.75839, 33.83755439120918, 12008.485447, 4.0, 1.5, '+', 'f', 'A2PI', 0, 1, -0.5, 0.5, 11953.727057, 2.0, 0.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '6830 - 7029', 54.793525, 40.49529574890461, 11383.377355, 36.0, 17.5, '+', 'f', 'A2PI', 0, 1, 0.5, 1.5, 11328.58383, 36.0, 17.5, '-', 'e', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '2834 - 2633', 54.876926, 32.068669444057825, 12038.535337, 16.0, 7.5, '+', 'f', 'A2PI', 0, 1, -0.5, 0.5, 11983.658411, 14.0, 6.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '3420 - 2819', 54.919382, -25.923634756122556, 8737.902257, 18.0, 8.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5, 8682.982876, 16.0, 7.5, '+', 'f', 'A2PI', 0, 1, -0.5, 0.5]
['27Al16O', '1034 - 433', 55.051105, 33.500508300423746, 12010.993901, 6.0, 2.5, '-', 'f', 'A2PI', 0, -1, 0.5, -0.5, 11955.942796, 4.0, 1.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '3830 - 3629', 55.074322, 40.76382456419455, 11272.818805, 20.0, 9.5, '-', 'e', 'A2PI', 0, -1, -0.5, -1.5, 11217.744483, 20.0, 9.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '2634 - 2033', 55.119833, 32.35786291297378, 12031.021921, 14.0, 6.5, '-', 'f', 'A2PI', 0, -1, 0.5, -0.5, 11975.902088, 12.0, 5.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '3830 - 4029', 55.129151, 40.67485095136006, 11272.818805, 20.0, 9.5, '-', 'e', 'A2PI', 0, -1, -0.5, -1.5, 11217.689655, 22.0, 10.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '1234 - 1033', 55.231212, 33.193187938732535, 12014.500553, 8.0, 3.5, '+', 'f', 'A2PI', 0, 1, -0.5, 0.5, 11959.269342, 6.0, 2.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '2034 - 1833', 55.262543, 32.632410709004006, 12024.513024, 12.0, 5.5, '+', 'f', 'A2PI', 0, 1, -0.5, 0.5, 11969.250481, 10.0, 4.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '1834 - 1233', 55.300798, 32.90712007446951, 12019.006474, 10.0, 4.5, '-', 'f', 'A2PI', 0, -1, 0.5, -0.5, 11963.705676, 8.0, 3.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '634 - 23', 55.789036, 33.41964897905729, 12008.419834, 4.0, 1.5, '-', 'e', 'A2PI', 0, -1, 0.5, -0.5, 11952.630798, 2.0, 0.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '5020 - 4819', 55.790453, -25.581796225959867, 8789.812388, 26.0, 12.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5, 8734.021935, 26.0, 12.5, '+', 'e', 'A2PI', 0, 1, -0.5, 0.5]
['27Al16O', '4020 - 3819', 55.9486, -17.98400674905131, 8753.680438, 22.0, 10.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5, 8697.731838, 20.0, 9.5, '-', 'e', 'A2PI', 0, -1, 0.5, -0.5]
